"SEQPLT","YEAR","PSTATABB","PNAME","ORISPL","OPRNAME","OPRCODE","UTLSRVNM","UTLSRVID","SECTOR","BANAME","BACODE","NERC","SUBRGN","SRNAME","ISORTO","FIPSST","FIPSCNTY","CNTYNAME","CAMDFLAG","NUMUNT","NUMGEN","PLPRMFL","PLFUELCT","COALFLAG","CAPFAC","NAMEPCAP","NBFACTOR","RMBMFLAG","CHPFLAG","USETHRMO","PWRTOHT","ELCALLOC","PSFLAG","PLHTIAN","PLHTIOZ","PLHTIANT","PLHTIOZT","PLNGENAN","PLNGENOZ","PLNOXAN","PLNOXOZ","PLSO2AN","PLCO2AN","PLCH4AN","PLN2OAN","PLCO2EQA","PLHGAN","PLNOXRTA","PLNOXRTO","PLSO2RTA","PLCO2RTA","PLCH4RTA","PLN2ORTA","PLC2ERTA","PLHGRTA","PLNOXRA","PLNOXRO","PLSO2RA","PLCO2RA","PLCH4RA","PLN2ORA","PLC2ERA","PLHGRA","PLNOXCRT","PLNOXCRO","PLSO2CRT","PLCO2CRT","PLCH4CRT","PLN2OCRT","PLC2ECRT","PLHGCRT","UNNOX","UNNOXOZ","UNSO2","UNCO2","UNCH4","UNN2O","UNHG","UNHTI","UNHTIOZ","UNHTIT","UNHTIOZT","UNNOXSRC","UNNOZSRC","UNSO2SRC","UNCO2SRC","UNCH4SRC","UNN2OSRC","UNHGSRC","UNHTISRC","UNHOZSRC","BIONOX","BIONOXOZ","BIOSO2","BIOCO2","BIOCH4","BION2O","CHPCHTI","CHPCHTIOZ","CHPNOX","CHPNOXOZ","CHPSO2","CHPCO2","CHPCH4","CHPN2O","PLHTRT","PLGENACL","PLGENAOL","PLGENAGS","PLGENANC","PLGENAHY","PLGENABM","PLGENAWI","PLGENASO","PLGENAGT","PLGENAOF","PLGENAOP","PLGENATN","PLGENATR","PLGENATH","PLGENACY","PLGENACN","PLCLPR","PLOLPR","PLGSPR","PLNCPR","PLHYPR","PLBMPR","PLWIPR","PLSOPR","PLGTPR","PLOFPR","PLOPPR","PLTNPR","PLTRPR","PLTHPR","PLCYPR","PLCNPR","GEOID","CountyFIPS","TractCode","StateAbbr","COUNTY","E_TOTPOP","M_TOTPOP","RPL_EBM","RPL_HVM","RPL_SVM","E_PM","E_OZONE","E_DSLPM","E_COAL","EP_UNINSUR","EP_AGE65","EP_ASTHMA","EP_BPHIGH","EP_CANCER","EP_MHLTH","geometry"
6992,2021,"NC","Ventura Solar, LLC","63734","Duke Energy Carolinas, LLC",5416,"Sol Systems",61677,"IPP Non-CHP","Duke Energy Carolinas","DUK","SERC","SRVC","SERC Virginia/Carolina","","37","003","Alexander","",1,1,"SUN","SOLAR","",0.24824,5,NA,"","",NA,NA,NA,"",NA,NA,96149,49126,10873,5555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96149,49126,"","","","","","","--","EIA","EIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,10873,0,0,0,0,10873,10873,0,10873,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,"37003040600","37003","040600","NC","Alexander",6372,502,0.1589,0,0.6122,9.39,0.33,0.19,0,5.4,15.6,9.3,33.8,6.4,14.6,c(-81.177116, 35.878809)
6701,2021,"NC","Mills Anson Farm","61093","Duke Energy Progress - (NC)",3046,"Strata Manager, LLC",64778,"IPP Non-CHP","Duke Energy Progress East","CPLE","SERC","SRVC","SERC Virginia/Carolina","","37","007","Anson","",1,1,"SUN","SOLAR","",0.20831,5,NA,"","",NA,NA,NA,"",NA,NA,80684,41224,9124,4662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80684,41224,"","","","","","","--","EIA","EIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,9124,0,0,0,0,9124,9124,0,9124,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,"37007920100","37007","920100","NC","Anson",3031,354,0.5001,0.6,0.756,8.91,0,0.17,0,7,17.1,10.9,44.2,7,15.2,c(-79.935844, 34.968056)
6333,2021,"NC","Blewett","2707","Duke Energy Progress - (NC)",3046,"Duke Energy Progress - (NC)",3046,"Electric Utility","Duke Energy Progress East","CPLE","SERC","SRVC","SERC Virginia/Carolina","","37","007","Anson","Yes",10,10,"WAT","HYDRO","",0.12711,94.6,NA,"","",NA,NA,NA,"",6047.3,5401.9,938799.299,372750.901,105332.001,41496,3.627,3.241,1.512,489.3,27.547,5.509,490.465,NA,0.069,0.156,0.029,9.291,0,0,9.313,NA,1.2,1.2,0.5,161.824,0.005,0.001,162.21,NA,0,0,0,0,0,0,0,NA,3.627,3.241,1.512,489.3,27.547,5.509,NA,6047.3,5401.9,938799.299,372750.901,"EPA/CAMD","EPA/CAMD","EPA/CAMD","EPA/CAMD","EIA","EIA","--","EPA/CAMD; EIA","EPA/CAMD; EIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-41138.09524,0,-147,0,0,105479,0,0,0,0,0,0,-147,105479,0,-147,105479,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,"37007920100","37007","920100","NC","Anson",3031,354,0.5001,0.6,0.756,8.91,0,0.17,0,7,17.1,10.9,44.2,7,15.2,c(-79.8775, 34.9833)
6742,2021,"NC","NCEMC Anson Plant","56249","Duke Energy Progress - (NC)",3046,"North Carolina El Member Corp",13683,"Electric Utility","Duke Energy Progress East","CPLE","SERC","SRVC","SERC Virginia/Carolina","","37","007","Anson","Yes",12,6,"NG","GAS","",0.03822,343.8,1,"","",NA,NA,NA,"",1182249.026,602183.87,1182249.026,602183.87,115093.998,50713.998,53.387,26.835,0.358,70433.581,3009.535,306.133,70516.814,NA,0.928,1.058,0.006,1223.931,0.026,0.003,1225.378,NA,0.09,0.089,0.001,119.152,0.003,0,119.293,NA,0.928,1.058,0.006,1223.931,0.026,0.003,1225.378,NA,53.387,26.835,0.358,70433.581,3009.535,306.133,NA,1182249.026,602183.87,1182249.026,602183.87,"EPA/CAMD","EPA/CAMD","EPA/CAMD","EPA/CAMD","EIA","EIA","--","EPA/CAMD","EPA/CAMD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10272.02969,0,667.824,114426.18,0,0,0,0,0,0,0,0,115094.004,0,0,115094.004,0,0,0.005802422,0.994197578,0,0,0,0,0,0,0,0,1,0,0,1,0,"37007920100","37007","920100","NC","Anson",3031,354,0.5001,0.6,0.756,8.91,0,0.17,0,7,17.1,10.9,44.2,7,15.2,c(-79.921738, 34.968651)
6999,2021,"NC","Wadesboro 4","62627","Duke Energy Progress - (NC)",3046,"Strata Manager, LLC",64778,"IPP Non-CHP","Duke Energy Progress East","CPLE","SERC","SRVC","SERC Virginia/Carolina","","37","007","Anson","",1,1,"SUN","SOLAR","",0.20273,2.2,NA,"","",NA,NA,NA,"",NA,NA,34549,17652,3907,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34549,17652,"","","","","","","--","EIA","EIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,3907,0,0,0,0,3907,3907,0,3907,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,"37007920200","37007","920200","NC","Anson",1881,291,0.2314,0.8,0.7295,9.04,0,0.17,0,13.9,16.4,11.1,43.6,7.2,16.5,c(-80.122015, 35.102174)
7003,2021,"NC","Wadesboro Solar","61129","Duke Energy Progress - (NC)",3046,"Oppidum Renewables USA, LLC",63026,"IPP Non-CHP","Duke Energy Progress East","CPLE","SERC","SRVC","SERC Virginia/Carolina","","37","007","Anson","",1,1,"SUN","SOLAR","",0.185,5,NA,"","",NA,NA,NA,"",NA,NA,71654,36610,8103,4140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71654,36610,"","","","","","","--","EIA","EIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8103,0,0,0,0,8103,8103,0,8103,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,"37007920400","37007","920400","NC","Anson",3175,389,0.5817,0.8,0.8633,9,0,0.19,0,13,11.1,12.4,47.9,6.7,18,c(-80.028987, 34.973863)
7000,2021,"NC","Wadesboro Farm 1","61087","Duke Energy Progress - (NC)",3046,"Strata Manager, LLC",64778,"IPP Non-CHP","Duke Energy Progress East","CPLE","SERC","SRVC","SERC Virginia/Carolina","","37","007","Anson","",1,1,"SUN","SOLAR","",0.20215,5,NA,"","",NA,NA,NA,"",NA,NA,78296,40004,8854,4524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78296,40004,"","","","","","","--","EIA","EIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8854,0,0,0,0,8854,8854,0,8854,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,"37007920400","37007","920400","NC","Anson",3175,389,0.5817,0.8,0.8633,9,0,0.19,0,13,11.1,12.4,47.9,6.7,18,c(-80.09732, 34.99115)
7001,2021,"NC","Wadesboro Farm 2","60575","Duke Energy Progress - (NC)",3046,"Strata Manager, LLC",64778,"IPP Non-CHP","Duke Energy Progress East","CPLE","SERC","SRVC","SERC Virginia/Carolina","","37","007","Anson","",1,1,"SUN","SOLAR","",0.2129,5,NA,"","",NA,NA,NA,"",NA,NA,82460,42131,9325,4764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82460,42131,"","","","","","","--","EIA","EIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,9325,0,0,0,0,9325,9325,0,9325,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,"37007920400","37007","920400","NC","Anson",3175,389,0.5817,0.8,0.8633,9,0,0.19,0,13,11.1,12.4,47.9,6.7,18,c(-80.093192, 35.023406)
7002,2021,"NC","Wadesboro Farm 3","60576","Duke Energy Progress - (NC)",3046,"Strata Manager, LLC",64778,"IPP Non-CHP","Duke Energy Progress East","CPLE","SERC","SRVC","SERC Virginia/Carolina","","37","007","Anson","",1,1,"SUN","SOLAR","",0.21721,5,NA,"","",NA,NA,NA,"",NA,NA,84130,42985,9514,4861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84130,42985,"","","","","","","--","EIA","EIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,9514,0,0,0,0,9514,9514,0,9514,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,"37007920400","37007","920400","NC","Anson",3175,389,0.5817,0.8,0.8633,9,0,0.19,0,13,11.1,12.4,47.9,6.7,18,c(-80.051028, 34.969356)
6591,2021,"NC","Innovative Solar 37 LLC","59665","Duke Energy Carolinas, LLC",5416,"Dominion Renewable Energy",58468,"IPP Non-CHP","Duke Energy Carolinas","DUK","SERC","SRVC","SERC Virginia/Carolina","","37","007","Anson","",1,1,"SUN","SOLAR","",0.16513,100,NA,"","",NA,NA,NA,"",NA,NA,1279158,618886,144652,69986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1279158,618886,"","","","","","","--","EIA","EIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,144652,0,0,0,0,144652,144652,0,144652,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,"37007920600","37007","920600","NC","Anson",3753,462,0.101,0.8,0.8974,8.94,0,0.15,0,11.2,22.1,11.6,46.9,6.5,16.5,c(-79.943889, 34.838297)
