"ST_ABBR","STCNTY","COUNTY","FIPS","LOCATION","RPL_THEMES","RPL_THEME1","RPL_THEME2","RPL_THEME3","RPL_THEME4"
"NC",37173,"Swain",37173,"Swain County, North Carolina",0.7374,0.697,0.6768,0.6162,0.8687
"NC",37175,"Transylvania",37175,"Transylvania County, North Carolina",0.2525,0.303,0.1212,0.0909,0.3838
"NC",37177,"Tyrrell",37177,"Tyrrell County, North Carolina",0.6768,0.7576,0.5859,0.697,0.5354
"NC",37179,"Union",37179,"Union County, North Carolina",0.0101,0.0101,0.3434,0.4848,0.0303
"NC",37181,"Vance",37181,"Vance County, North Carolina",0.8687,0.7879,0.9596,0.9192,0.7273
"NC",37183,"Wake",37183,"Wake County, North Carolina",0.1313,0,0.303,0.6566,0.2525
"NC",37185,"Warren",37185,"Warren County, North Carolina",0.8687,0.7778,0.8788,0.9596,0.8889
"NC",37187,"Washington",37187,"Washington County, North Carolina",0.899,0.9495,0.9091,0.8788,0.5556
"NC",37189,"Watauga",37189,"Watauga County, North Carolina",0.2626,0.7071,0,0.0606,0.5859
"NC",37191,"Wayne",37191,"Wayne County, North Carolina",0.8485,0.7374,0.899,0.7677,0.9394
"NC",37193,"Wilkes",37193,"Wilkes County, North Carolina",0.404,0.5859,0.4444,0.1313,0.303
"NC",37195,"Wilson",37195,"Wilson County, North Carolina",0.9394,0.9293,0.8081,0.8485,0.7879
"NC",37197,"Yadkin",37197,"Yadkin County, North Carolina",0.3939,0.4444,0.3737,0.2424,0.4343
"NC",37199,"Yancey",37199,"Yancey County, North Carolina",0.3636,0.5354,0.4848,0.0202,0.2222
