"FIPS_Code","Unemployment_rate_2000","Unemployment_rate_2001","Unemployment_rate_2002","Unemployment_rate_2003","Unemployment_rate_2004","Unemployment_rate_2005","Unemployment_rate_2006","Unemployment_rate_2007","Unemployment_rate_2008","Unemployment_rate_2009","Unemployment_rate_2010","Unemployment_rate_2011","Unemployment_rate_2012","Unemployment_rate_2013","Unemployment_rate_2014","Unemployment_rate_2015","Unemployment_rate_2016","Unemployment_rate_2017","Unemployment_rate_2018","Unemployment_rate_2019","Unemployment_rate_2020","Unemployment_rate_2021","Unemployment_rate_2022"
1061,5.1,6.5,4.9,5.6,4.9,3.9,3.7,3.5,5.7,9.9,10.2,9.2,7.8,7.1,6.7,6,5.8,4.4,3.9,3.1,4.5,2.8,2.4
1063,6.9,7.2,8.5,8.5,8.6,6.6,5.6,6.5,8.8,14.1,17,17.1,13.9,13,12.4,11.1,10,7.7,6.6,5.9,11.7,6.5,4.4
1065,6.1,7.3,8.4,8.4,7.4,5.4,5.2,5.5,7.7,13.1,14.8,13.7,11.7,11.8,9.8,7.8,7.7,6.1,5.1,4.2,10.2,5.5,3.9
1067,5,5.4,6.1,5.8,5.5,4.3,4,5.5,8,10.3,10.8,9.7,8.5,7.8,7.5,6.8,6.5,5,4.4,3.8,5.3,3.2,2.7
1069,4.4,4.3,4.8,4.8,4.6,3.8,3.4,3.4,5.1,8.5,9,8.6,7.8,7,6.7,6.3,5.8,4.5,4,3.2,5.9,3.3,2.6
1071,5.2,6.6,7.1,7,6.7,5,4.4,4.6,6.4,11.7,11.6,10.2,8.8,8,7.2,6.7,6.3,4.9,4.1,3.5,5.8,2.8,2.5
1073,4,4.4,5.2,5.5,5.2,4.4,4,3.9,5.6,9.9,10.2,9.2,7.6,6.8,6.3,5.8,5.7,4.4,3.7,3,6.8,3.5,2.6
1075,7,8.1,8.4,8.7,8.1,5.6,5.2,6.4,8.3,14.7,13,9.6,7.7,7.1,6.9,6.4,5.7,4.3,3.8,3.3,5.3,3,2.7
1077,5,6.6,8.6,7.3,6.3,5.1,4.2,4.4,5.9,9.8,10,9.1,7.9,7.2,7.2,7,6.4,4.7,4.2,3.5,6.1,3.1,2.6
1079,5,6,6.8,6.7,6.3,5.5,4.8,4.2,6.7,12.5,12.4,10.8,9.2,8.5,8.2,7.8,6.9,5,4.1,3.3,5.4,2.9,2.4
1081,4,4.1,4.6,4.7,4.4,3.7,3.4,3.7,5.4,8.6,8.9,8,7,6,5.6,5.3,5.2,4.1,3.6,2.9,5.7,2.8,2.4
1083,3.8,4.4,5.4,5.5,5.1,4.4,3.6,3.4,4.9,9,9.5,8.6,7,6.3,6.1,5.5,5.3,4.1,3.5,2.8,4.7,2.4,2.1
1085,7,7.3,8.9,9.2,9.1,8,7.5,7.7,11.3,17.8,18.1,17.5,15.8,14.3,12.8,11.6,10.6,8.4,7.3,6.1,14.4,8.7,5.2
1087,5.8,5.9,6.5,7,6.9,5.8,5.2,5.5,7.7,11.2,14.5,13.9,11,9.8,9.1,8.1,7.6,5.9,5.4,4.5,10.4,5.8,3.8
1089,3.6,3.9,4.6,4.7,4.6,3.6,3.3,3.1,4.3,7.4,8.2,8.2,7.1,6.4,6.1,5.5,5.1,4,3.5,2.7,5.1,2.6,2.1
1091,5.3,6,6.4,6.3,6,5.7,4.6,5.4,7.7,13.1,13.5,12.4,10.4,9,7.9,7.7,7.2,5.7,4.9,3.7,6.8,4.2,3.4
1093,6.7,8.8,8.8,7.2,6.3,4.4,4.3,5.3,8.2,15.3,13.3,11.1,9.1,8,7.9,7,6.6,4.9,4.1,3.7,5.5,2.8,2.5
1095,4.8,5.6,6,5.6,4.8,3.9,3.4,3.5,4.9,9.3,9.5,9.4,8,6.9,6.6,5.8,5.3,3.9,3.4,2.6,4.6,2.4,2.1
1097,5,5.7,6.5,6.9,6.5,4.9,4.1,4.1,5.9,10.4,11.1,10.7,9.4,8.7,7.7,6.9,6.6,5.3,4.7,3.9,8.6,4.6,3.2
1099,6.5,7.3,8.5,8.3,7.4,6.1,6,6.6,10.5,18,17.8,15.5,12.8,12,11,10.1,9.1,6.9,6.1,5.1,8.8,5.5,4.1
1101,4.2,4.6,5.3,5.8,5.7,4.5,4.1,4.2,6.1,9.6,9.9,9.7,8.3,7.4,6.8,6.1,5.7,4.4,4,3.3,8.5,4.7,3.1
1103,4.3,5.2,6.4,6.5,6,4.5,4,3.6,5.4,9.9,10.6,9.4,8,7,6.6,5.9,5.5,4.2,3.5,2.7,4.9,2.6,2.1
1105,9.3,11.1,11.8,10.6,10,9,8.3,8.6,11.7,18.4,16.5,16.3,13.6,13.7,12,10,10.3,8,6.5,5.5,11.8,7.9,5.3
1107,7.6,8.5,8.3,8.1,7.5,5.4,5,5.1,7.4,12.6,12.9,11.9,10.4,9.5,8.1,6.8,6.9,5.5,4.6,3.7,7.2,4,3.3
1109,5.6,5.4,6,5.8,5.3,4,4,4.1,5,8.7,9.4,8.9,8.2,7.8,7.3,6.6,6.5,5,4.5,3.5,5.4,3.2,2.7
1111,4.9,6.3,6.8,7.4,6.6,6.1,5.3,5.2,7.6,13.7,13.1,11.3,9.4,7.9,6.7,5.9,5.6,4.5,4,3.2,5.2,2.7,2.5
1113,4.7,5.6,7,7.5,6.5,6,5.8,6.2,8.3,11.3,10.7,10.2,9,7.4,6.5,6,5.6,4.4,4,3.1,5.7,3,2.6
1115,3.8,4.2,5.1,5.2,4.9,3.9,3.5,3.5,5.2,10,10,8.7,7,6.2,5.7,5.2,5.2,4.1,3.5,2.9,5.3,2.6,2.2
1117,2.8,3,3.5,3.5,3.3,3.1,2.7,2.7,3.9,7.1,7,6.2,5.2,4.7,4.5,4.2,4.3,3.3,2.8,2.3,4.2,2.1,1.8
1119,9.2,8.5,9,10,9.4,7.2,6.7,6.7,9.1,13.7,13.1,13,10.7,9.2,8.4,8,7.7,6.7,5.8,4.8,7.6,4.4,3.5
1121,5.2,6.6,7.4,7.7,6.7,4.8,5.1,5.3,7.5,13.2,13.2,11.5,9.6,8.7,7.7,6.6,6.6,5.1,4.3,3.6,7.7,4.1,3.1
1123,4.9,6,7.9,6.9,6.1,4.5,5,5.4,7.4,12.5,12.9,11.3,8.8,8.2,7.5,6.1,5.6,4.3,4.1,3.2,7.5,4,2.9
1125,4,4.2,4.7,4.9,4.7,3.7,3.3,3.4,4.9,9.3,9.1,8.3,7.2,6.5,5.9,5.5,5.7,4.3,3.6,2.9,7.2,3.5,2.5
1127,5.9,6.1,6.4,6.4,6,4.4,4.5,4.4,5.9,10.7,12.5,11.2,9.4,8.6,7.9,7.3,7.5,5.2,4.2,3.5,6.4,3.6,2.8
1129,6.9,9,10.4,10.4,9.4,6.2,5.7,6.1,8.7,13.9,13.9,14.4,12.2,11,9.5,9,8.6,6.9,5.8,4.9,8.7,4.6,3.6
