ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
37,North Carolina,NC,37043,Clay,37043,"Clay County, North Carolina",214.98333221730599,11150,0,7389,25,5300,344,2806,506,161,116,1204,266,1035,324,1649,352,3462,112,1866,50,2280,392,99,99,98,95,766,143,296,166,1253,311,48,66,554,214,49,43,25.3,4.6,3.5,2.5,22.7,4.8,11.9,3.7,14.8,3.2,31.0,1.0,16.7,0.4,20.5,3.5,1.9,1.9,0.9,0.9,6.9,1.3,4.0,2.2,17.0,4.2,0.9,1.2,10.5,3.9,0.4,0.4,0.4242,0.0606,0.2929,0.3838,0.9293,2.0908,0.3939,0.9798,0.0808,0.8889,0.0101,0.303,2.2626,0.303,0.0101,0.0101,0.0101,0.7374,0.3535,0.0707,0.9596,0.0101,2.1313,0.3232,6.4948,0.2929,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,3,8775,2114,531,215,83,385,0,20,30,58,79,44,60,44,50,0,0,19.0,0.1,1.9,0.7,3.5,0.0,0.2,0.3,0.5,0.7,0.4,0.5,0.4,0.4,0.0,0.4
37,North Carolina,NC,37045,Cleveland,37045,"Cleveland County, North Carolina",464.249277619506,97765,0,43714,139,36089,635,30190,1979,3315,512,9304,756,9579,810,11163,1101,18083,119,21483,34,14684,949,2633,406,725,252,26848,709,1267,258,8346,566,1114,326,2598,361,1771,318,31.5,2.1,7.4,1.1,25.8,2.0,14.2,1.2,11.4,1.1,18.5,0.1,22.0,0.0,15.1,1.0,7.3,1.1,0.8,0.3,27.5,0.7,2.9,0.6,19.1,1.3,3.1,0.9,7.2,1.0,1.8,0.3,0.7677,0.7677,0.5455,0.5455,0.5556,3.182,0.7475,0.404,0.6465,0.2525,0.6768,0.1919,2.1717,0.2323,0.4242,0.4242,0.4242,0.6061,0.4747,0.8687,0.7677,0.4646,3.1818,0.8586,8.9597,0.6869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90249,24118,2111,20163,469,3618,0,985,93,227,132,80,110,1567,473,208,208,25.1,0.1,20.6,0.5,3.7,0.0,1.0,0.1,0.2,0.1,0.1,0.1,1.6,0.5,0.2,0.2
37,North Carolina,NC,37047,Columbus,37047,"Columbus County, North Carolina",938.120659938006,55659,0,26381,234,21545,471,18720,1494,1230,308,6711,700,6297,589,7164,853,11142,99,11681,21,10280,736,1604,326,716,369,22741,562,361,175,7914,561,455,200,1352,274,2962,566,35.6,2.8,5.7,1.4,31.1,3.2,16.0,1.5,13.6,1.6,20.0,0.2,21.0,0.0,19.5,1.4,7.4,1.5,1.4,0.7,40.9,1.0,1.4,0.7,30.0,2.1,2.1,0.9,6.3,1.2,5.3,1.0,0.9293,0.4949,0.9192,0.6566,0.8788,3.8788,0.899,0.5253,0.5253,0.7778,0.697,0.5556,3.081,0.8687,0.6667,0.6667,0.6667,0.2626,0.899,0.4545,0.596,0.8485,3.0606,0.7778,10.6871,0.9091,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49797,11424,1384,16493,388,3061,0,246,38,1874,78,10,15,929,385,128,128,21.7,0.2,29.6,0.7,5.5,0.0,0.4,0.1,3.4,0.1,0.0,0.1,1.7,0.7,0.2,0.2
37,North Carolina,NC,37049,Craven,37049,"Craven County, North Carolina",706.57227585359,102290,0,47437,315,41002,806,23340,1551,2617,411,10926,883,7512,764,9914,901,19706,142,22127,31,14964,806,2992,471,2166,411,35571,883,1982,353,6676,707,1081,244,2414,412,5258,726,24.1,1.6,6.1,1.0,26.6,2.1,11.1,1.1,10.4,0.9,19.3,0.1,21.6,0.0,15.8,0.8,7.3,1.1,2.3,0.4,34.8,0.9,4.2,0.7,14.1,1.5,2.6,0.6,5.9,1.0,5.1,0.7,0.3535,0.6061,0.6364,0.2626,0.3131,2.1717,0.4141,0.4545,0.6061,0.3333,0.6768,0.7778,2.8485,0.7778,0.5455,0.5455,0.5455,0.7576,0.2424,0.7273,0.5455,0.8283,3.1011,0.8182,8.6668,0.6364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100783,13578,1788,21708,392,7644,0,2965,336,530,144,144,57,2112,605,468,468,14.0,0.1,21.2,0.4,7.5,0.0,2.9,0.3,0.5,0.1,0.1,0.1,2.1,0.6,0.5,0.3
37,North Carolina,NC,37051,Cumberland,37051,"Cumberland County, North Carolina",652.55593809713,334562,0,146978,428,127532,812,94586,2976,10747,772,44644,1423,17580,782,31417,1588,39910,36,82782,0,50485,1438,12433,772,3974,505,192382,1738,16170,740,13030,704,3119,489,8802,548,16493,1226,29.8,0.9,7.8,0.6,35.0,1.1,8.5,0.4,10.4,0.5,11.9,0.1,24.7,0.0,16.7,0.5,9.7,0.6,1.3,0.2,57.5,0.5,11.0,0.5,8.9,0.5,2.4,0.4,6.9,0.4,4.9,0.4,0.6667,0.8182,1.0,0.101,0.3131,2.899,0.6768,0.0404,0.9394,0.4848,0.9091,0.4545,2.8282,0.7677,0.9091,0.9091,0.9091,0.9192,0.1111,0.6061,0.7071,0.8081,3.1516,0.8485,9.7879,0.7778,0,0,1,0,0,1,0,1,0,1,0,2,1,1,1,0,0,0,0,1,5,349668,34901,2806,121430,1024,40081,0,8101,447,3807,282,1061,144,16323,1204,1579,1579,11.0,0.0,36.3,0.3,12.0,0.0,2.4,0.1,1.1,0.1,0.3,0.1,4.9,0.4,0.5,0.1
37,North Carolina,NC,37053,Currituck,37053,"Currituck County, North Carolina",261.909175084656,27210,0,16101,47,10868,287,3842,679,453,144,2360,374,1776,304,3286,622,4467,110,6045,46,3499,391,708,209,86,114,3538,275,110,72,1949,349,91,60,241,113,113,41,14.3,2.5,3.3,1.0,21.7,3.4,9.1,1.6,12.3,2.3,16.4,0.4,22.2,0.2,13.1,1.5,6.5,1.9,0.3,0.4,13.0,1.0,0.7,0.4,12.1,2.2,0.8,0.6,2.2,1.0,0.4,0.2,0.0101,0.0202,0.1919,0.1313,0.7172,1.0707,0.101,0.1919,0.6869,0.1212,0.4949,0.0404,1.5353,0.0404,0.1414,0.1414,0.1414,0.101,0.1616,0.0606,0.0101,0.0101,0.3434,0.0,3.0908,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22363,3270,596,1492,155,1138,0,107,66,93,86,18,26,543,165,147,147,12.1,2.2,5.5,0.6,4.2,0.0,0.4,0.2,0.3,0.3,0.1,0.1,2.0,0.6,0.5,0.4
37,North Carolina,NC,37055,Dare,37055,"Dare County, North Carolina",383.22874744931397,36698,0,35007,55,15830,678,5883,738,1101,336,4546,509,1530,289,4574,575,7853,105,6900,74,4275,456,615,200,624,356,4769,279,1556,313,1745,299,438,188,417,147,176,87,16.2,2.0,5.6,1.7,28.7,3.0,5.6,1.0,12.5,1.6,21.4,0.3,18.8,0.2,11.7,1.3,3.9,1.3,1.8,1.0,13.0,0.8,4.4,0.9,5.0,0.9,2.8,1.2,2.6,0.9,0.5,0.2,0.0303,0.4646,0.7374,0.0,0.7576,1.9899,0.3434,0.6667,0.2626,0.0909,0.0808,0.6869,1.7879,0.101,0.1414,0.1414,0.1414,0.7879,0.0606,0.798,0.0202,0.0303,1.697,0.1414,5.6162,0.1515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39241,2471,606,1043,159,2720,0,200,105,47,59,14,20,657,176,88,88,6.8,1.7,2.8,0.4,7.4,0.0,0.5,0.3,0.1,0.2,0.0,0.1,1.8,0.5,0.2,0.2
37,North Carolina,NC,37057,Davidson,37057,"Davidson County, North Carolina",553.177952042514,166837,0,75465,141,67555,755,42596,2360,4356,548,15877,1016,17685,1257,19347,1331,30238,100,36729,0,25068,1278,4531,565,2589,446,34174,996,2456,428,10743,819,1314,302,3451,413,1900,335,25.9,1.4,5.5,0.7,23.5,1.5,15.1,1.1,11.7,0.8,18.1,0.1,22.0,0.0,15.2,0.8,6.7,0.8,1.6,0.3,20.5,0.6,3.3,0.6,14.2,1.1,1.9,0.4,5.1,0.6,1.1,0.2,0.4747,0.4545,0.3939,0.6061,0.6162,2.5454,0.5253,0.3636,0.6465,0.2727,0.5859,0.6263,2.495,0.5556,0.3434,0.3434,0.3434,0.6667,0.2525,0.3535,0.4343,0.2222,1.9292,0.2121,7.313,0.4242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137528,22083,2051,15391,597,12265,0,2523,245,250,109,13,17,3614,745,118,118,13.4,0.0,9.2,0.4,7.4,0.0,1.5,0.1,0.1,0.1,0.0,0.1,2.2,0.4,0.1,0.1
37,North Carolina,NC,37059,Davie,37059,"Davie County, North Carolina",263.69899414908,42543,0,18998,33,16303,383,8548,1234,844,273,3258,447,3114,512,4712,720,8799,34,9021,102,6740,603,787,259,669,208,6737,424,734,234,3500,410,352,144,819,275,333,50,20.2,2.9,4.0,1.3,20.0,2.7,10.2,1.7,11.2,1.7,20.7,0.1,21.2,0.2,16.0,1.4,4.8,1.6,1.7,0.5,15.8,1.0,3.9,1.2,18.4,2.1,2.2,0.9,5.0,1.7,0.8,0.1,0.1616,0.0909,0.101,0.1818,0.4747,1.01,0.0808,0.6465,0.5455,0.3737,0.202,0.6364,2.4041,0.4646,0.2323,0.2323,0.2323,0.7273,0.4242,0.5051,0.4141,0.0909,2.1616,0.3333,5.808,0.1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36202,3968,750,2035,277,2940,0,295,96,273,141,0,28,1159,267,35,35,9.4,1.8,4.8,0.7,6.9,0.0,0.7,0.2,0.6,0.3,0.0,0.1,2.7,0.6,0.1,0.1
37,North Carolina,NC,37061,Duplin,37061,"Duplin County, North Carolina",814.71992868109,58965,0,26014,73,21437,453,19099,1547,1597,310,4717,530,8551,691,9813,822,10914,161,14165,81,11317,805,1209,278,3916,592,28702,719,274,112,8586,704,1018,246,994,208,464,144,32.7,2.6,5.9,1.1,22.0,2.4,21.3,1.7,16.7,1.4,18.5,0.3,24.0,0.1,19.3,1.4,5.6,1.3,7.1,1.1,48.7,1.2,1.1,0.4,33.0,2.7,4.7,1.1,4.6,1.0,0.8,0.2,0.8081,0.5556,0.2222,0.9495,0.9798,3.5152,0.8384,0.404,0.899,0.7576,0.3737,1.0,3.4343,0.9899,0.7879,0.7879,0.7879,0.1818,0.9293,0.9798,0.2727,0.0909,2.4545,0.4848,10.1919,0.8182,0,0,0,1,1,2,0,0,0,0,1,1,0,0,0,1,1,0,0,2,5,52852,11999,1161,13539,492,13225,0,187,75,192,103,39,43,1465,504,55,55,20.5,0.1,23.0,0.8,22.4,0.0,0.3,0.1,0.3,0.2,0.1,0.1,2.5,0.9,0.1,0.1
