STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH
37,119,3018,1400000US37119003018,37119003018,30.18,Mecklenburg,NC,North Carolina,"Census Tract 30.18, Mecklenburg County, North Ca",2922.0,255.0,1734.0,0.3078,0.0356,0.3078,0.0586,0.6074,0.7682,0.7035,0.8518,2.9309,0.828,0.0,0.2852,0.0,0.0,0.0,0.0,0.2852,0.2186,0.5171,0.1398,0.2262,0.8831,0.049,0.0,0.0,0.0,0.0,0.0,0.64,0.64,0.64,4.7392,0.2333,0.4579,0.4579,0.4579,0.06,0.0583,0.5241,0.5672,0.0759,0.058,0.0244,1.3679,0.0944,0.3108,0.5019,0.0901,0.3205,1.2233,0.065,0.0,0.6383,0.6383,0.3566,3.6874,0.0745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,10.11,0.58,40.27,0.0,0.06,0.0,0.0,0.0,0.0,75.29,24.17,13.5,0.0,0.0,0.0,71.54,26.2,7.7399,1.9,5.0,36.0,13.8272,1.5,2.4,12.5,22.1,6.4,0.5,0.0,0.7,26.2,7.8,6.6,9.1,6.3,0.1804,0.0496,0.471,0.0498,0.0365
37,119,3102,1400000US37119003102,37119003102,31.02,Mecklenburg,NC,North Carolina,"Census Tract 31.02, Mecklenburg County, North Ca",4444.0,476.0,4165.0,1.5909,0.6636,1.5909,0.8795,0.6074,0.7909,0.7709,0.9012,3.0704,0.8694,0.0,0.8089,0.0,0.9472,0.0,0.0,1.7561,0.8447,0.3853,0.4462,0.2289,1.0604,0.1095,0.5907,0.5364,0.0,1.1271,0.5411,0.4736,0.4736,0.4736,7.4876,0.8125,0.6728,0.6728,0.6728,0.6877,0.576,0.3296,0.7845,0.6913,0.8374,0.6849,4.5914,0.7315,0.5982,0.1165,0.4816,0.8853,2.0816,0.5677,0.5741,0.7121,1.2862,0.7675,8.632,0.7784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,10.23,0.66,42.27,0.0,93.4,0.0,80.09999999999998,0.0,0.0,100.0,56.86,13.44,56.43,59.31,0.0,43.73,48.7,40.3326,11.6,3.6,54.9,33.0023,14.8,22.3,17.3,14.6,12.3,11.0,1.5,1.2,32.1,8.9,7.1,11.9,9.7,0.5115,0.2567,0.5871,0.3693,0.2588
37,119,3103,1400000US37119003103,37119003103,31.03,Mecklenburg,NC,North Carolina,"Census Tract 31.03, Mecklenburg County, North Ca",4922.0,496.0,8904.0,1.0206,0.3672,1.0206,0.5348,0.6074,0.7926,0.778,0.8971,3.0751,0.8708,0.0,0.7011,0.0,0.8692,0.0,0.0,1.5703,0.7771,0.5135,0.6707,0.0514,1.2356,0.2102,0.585,0.5379,0.0,1.1229,0.5391,0.4734,0.4734,0.4734,7.4773,0.8108,0.415,0.415,0.415,0.5644,0.2501,0.4307,0.5779,0.5303,0.6488,0.2546,3.2568,0.4493,0.0888,0.0916,0.1292,0.4203,0.7299,0.0183,0.5234,0.0,0.5234,0.2755,4.9251,0.2098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,10.24,0.67,42.07,0.0,62.38,0.0,36.38,0.0,0.0,76.33,75.34999999999998,15.94,54.91,59.6,0.0,43.7,22.9,33.2385,5.3,4.3,36.8,27.1485,9.6,9.8,7.6,13.3,7.2,0.9,0.9,0.0,26.0,8.3,6.1,10.6,6.8,0.1711,0.1201,0.3665,0.0713,0.1297
37,119,3105,1400000US37119003105,37119003105,31.05,Mecklenburg,NC,North Carolina,"Census Tract 31.05, Mecklenburg County, North Ca",3797.0,267.0,1898.0,1.0031,0.3567,0.8031,0.3578,0.6074,0.7852,0.7557,0.8902,3.0385,0.8604,0.0,0.6813,0.0,0.8442,0.0,0.0,1.5255,0.761,0.4436,0.4248,0.3282,1.1966,0.1833,0.5179,0.4623,0.0,0.9802,0.4731,0.4763,0.4763,0.4763,7.2171,0.7674,0.2212,0.2212,0.2212,0.1641,0.0416,0.1343,0.2605,0.2294,0.1896,0.0714,1.0909,0.06,0.6906,0.1912,0.2564,0.2502,1.3884,0.104,0.4399,0.0,0.4399,0.1938,3.1404,0.0357,0.0,0.0,1.0,0.0,0.0,1.0,0.2,1.33,10.2,0.64,41.8,0.0,56.45,0.0,27.18,0.0,0.0,94.16,55.07,12.17,39.15,43.54,0.0,44.09,10.9,13.616,1.5,2.2,18.9,18.8896,3.2,4.4,18.9,17.0,9.2,0.3,0.4,0.0,30.0,7.9,8.4,8.7,7.4,0.385,0.0604,0.8659,0.1101,0.0226
37,119,3106,1400000US37119003106,37119003106,31.06,Mecklenburg,NC,North Carolina,"Census Tract 31.06, Mecklenburg County, North Ca",4360.0,528.0,1977.0,1.338,0.5438,1.338,0.7499,0.6074,0.787,0.7709,0.9122,3.0775,0.8715,0.0,0.8577,0.0,0.8458,0.0,0.0,1.7035,0.8252,0.3853,0.402,0.1234,0.9107,0.0565,0.7629,0.7587,0.0,1.5216,0.7574,0.4736,0.4736,0.4736,7.6869,0.8432,0.7074,0.7074,0.7074,0.6727,0.6804,0.4989,0.5501,0.6042,0.873,0.2427,4.122,0.639,0.0774,0.8824,0.1692,0.8436,1.9726,0.4671,0.0,0.0,0.0,0.0,6.802,0.4948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,10.21,0.66,42.84,0.0,100.0,0.0,27.74,0.0,0.0,100.0,53.07,14.75,98.17,99.87,0.0,43.74,53.7,39.4434,14.6,4.8,34.8,29.6273,16.4,9.5,7.2,29.1,7.9,8.2,0.0,0.0,27.9,9.0,5.2,12.8,8.1,0.264,0.2831,0.2082,0.174,0.362
37,119,3108,1400000US37119003108,37119003108,31.08,Mecklenburg,NC,North Carolina,"Census Tract 31.08, Mecklenburg County, North Ca",3735.0,343.0,1230.0,1.6435,0.6864,1.4435,0.8073,0.6074,0.787,0.7641,0.8995,3.058,0.866,0.0,0.8577,0.0,0.0,0.0,0.0,0.8577,0.5172,0.4037,0.3675,0.5268,1.298,0.2588,0.7891,0.7666,0.0,1.5557,0.7805,0.4735,0.4735,0.4735,7.2429,0.7716,0.8101,0.8101,0.8101,0.8683,0.7849,0.4859,0.882,0.921,0.9634,0.3082,5.2137,0.84,0.0456,0.8047,0.1088,0.9155,1.8746,0.3836,0.0,0.0,0.0,0.0,7.8984,0.6719,0.0,0.0,0.0,1.0,0.0,1.0,0.2,1.33,10.21,0.65,42.18,0.0,100.0,0.0,0.0,0.0,0.0,99.31,50.1,8.75,100.0,100.0,0.0,43.72,71.5,54.9785,18.8,4.7,67.8,47.5895,24.7,11.2,5.9,27.0,6.8,13.9,0.0,0.0,29.4,10.2,4.1,16.2,9.7,0.349,0.6245,0.0688,0.3693,0.7328
37,119,3109,1400000US37119003109,37119003109,31.09,Mecklenburg,NC,North Carolina,"Census Tract 31.09, Mecklenburg County, North Ca",4503.0,416.0,1827.0,1.876,0.7775,1.676,0.9149,0.6074,0.7835,0.7641,0.8967,3.0517,0.8643,0.0,0.8577,0.0,0.0,0.0,0.0,0.8577,0.5172,0.5654,0.2292,0.4052,1.1998,0.1855,0.7891,0.7666,0.0,1.5557,0.7805,0.4736,0.4736,0.4736,7.1385,0.7536,0.8979,0.8979,0.8979,0.8769,0.8203,0.8739,0.9876,0.9296,0.9968,0.5115,5.9966,0.9522,0.0115,0.8264,0.0216,0.9642,1.8237,0.3425,0.4399,0.6744,1.1143,0.7024,9.8325,0.9224,0.0,0.0,0.0,1.0,0.0,1.0,0.2,1.33,10.19,0.65,42.06,0.0,100.0,0.0,0.0,0.0,0.0,60.04,36.13,10.83,100.0,100.0,0.0,43.74,88.0,55.9521,20.7,10.0,96.4,48.5101,39.9,16.8,2.4,27.5,3.7,21.8,0.4,0.9,26.4,10.1,2.9,15.9,8.4,0.1893,0.5987,0.0156,0.2073,0.7053
37,119,3201,1400000US37119003201,37119003201,32.01,Mecklenburg,NC,North Carolina,"Census Tract 32.01, Mecklenburg County, North Ca",2829.0,384.0,3074.0,1.2564,0.5013,1.2564,0.7015,0.6074,0.7941,0.7857,0.9157,3.1029,0.8795,0.0,0.8577,0.0,0.0,0.0,0.0,0.8577,0.5172,0.3853,0.894,0.1756,1.4549,0.4007,0.7891,0.7275,0.0,1.5166,0.7542,0.4753,0.4753,0.4753,7.4074,0.7995,0.6906,0.6906,0.6906,0.6913,0.2628,0.0632,0.657,0.3616,0.8979,0.5582,3.492,0.5022,0.1021,0.6641,0.3064,0.8681,1.9407,0.4397,0.0,0.4452,0.4452,0.1995,6.5685,0.4569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,10.25,0.68,43.05,0.0,100.0,0.0,0.0,0.0,0.0,100.0,91.6,14.08,100.0,97.8,0.0,43.93,51.2,40.5797,5.5,1.5,42.9,22.3963,17.8,18.2,8.0,24.4,9.9,9.7,0.0,0.2,29.2,8.6,5.3,12.8,8.8,0.3375,0.182,0.2235,0.2542,0.362
37,119,3203,1400000US37119003203,37119003203,32.03,Mecklenburg,NC,North Carolina,"Census Tract 32.03, Mecklenburg County, North Ca",2579.0,213.0,1255.0,0.8499,0.2651,0.8499,0.395,0.6074,0.7926,0.7857,0.908,3.0937,0.8768,0.0,0.7996,0.0,0.0,0.0,0.0,0.7996,0.4881,0.4015,0.3511,0.2849,1.0375,0.1,0.6609,0.6971,0.0,1.358,0.6552,0.4736,0.4736,0.4736,6.7624,0.6824,0.5086,0.5086,0.5086,0.4647,0.0981,0.1343,0.9114,0.6349,0.8092,0.2068,3.2594,0.4499,0.0418,0.0867,0.1088,0.5727,0.81,0.0226,0.0,0.0,0.0,0.0,4.578,0.1675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,10.24,0.68,42.61,0.0,91.22000000000001,0.0,0.0,0.0,0.0,99.45,48.65,12.75,75.15999999999998,93.69,0.0,43.74,30.6,28.1504,2.7,2.2,72.9,30.7692,13.8,8.5,5.7,13.0,6.8,1.9,0.0,0.0,26.5,8.8,4.8,12.1,7.1,0.1942,0.2306,0.1505,0.0885,0.2812
37,119,3204,1400000US37119003204,37119003204,32.04,Mecklenburg,NC,North Carolina,"Census Tract 32.04, Mecklenburg County, North Ca",3578.0,268.0,3933.0,0.776,0.2238,0.776,0.3365,0.6074,0.7941,0.7857,0.9012,3.0884,0.8751,0.0,0.5485,0.0,0.0,0.0,0.0,0.5485,0.3469,0.4309,0.3277,0.1706,0.9292,0.0617,0.4047,0.2209,0.0,0.6256,0.2307,0.4736,0.4736,0.4736,5.6653,0.4393,0.4257,0.4257,0.4257,0.2878,0.4784,0.286,0.48,0.1608,0.4328,0.3707,2.4965,0.2877,0.562,0.1796,0.5383,0.6593,1.9392,0.4382,0.0,0.9515,0.9515,0.6146,5.8129,0.3367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,10.25,0.68,42.27,0.0,22.78,0.0,0.0,0.0,0.0,96.34,46.39,14.17,18.81,5.72,0.0,43.74,23.7,19.68,9.4,3.3,30.3,16.9335,6.1,12.9,16.7,16.7,13.1,2.9,0.0,10.9,28.6,8.5,7.1,10.8,7.3,0.3032,0.1594,0.5871,0.1023,0.1483
